Month;Revenue excl. VAT (K€);Projects (k€);Staff Augmentation (k€);Nb working day;Staff;Total workload possible;Rate billable day;Billable days;Avg Daily Rate (€)
January;446;263,14;182,86;22;62;1364;85;1159;385
February;422;265,86;156,14;20;65;1300;89;1157;365
March;472;302,08;169,92;21;64;1344;87;1169;404
April;435;295,8;139,2;21;64;1344;89;1196;364
May;451;266,09;184,91;19;64;1216;84;1021;442
June;465;311,55;153,45;20;64;1280;87;1114;417
July;303;193,92;109,08;22;63;1386;89;1234;246
August;316;195,92;120,08;20;63;1260;86;1084;292
September;483;328,44;154,56;22;63;1386;85;1178;410
October;497;318,04;178,96;23;63;1449;87;1261;394
November;458;311,44;146,56;19;64;1216;88;1070;428
December;452;275,72;176,28;22;64;1408;85;1197;378
TOTAL;5200;3328;1872;21;64;15953;87 %;13840;377
Annual Oprational margin;;24,35 %;19,30 %;;;;;;
